"","Default","checkingstatus1","duration","history","purpose","amount","savings","employ","installment","sex","residence","age","housing","cards","liable","tele","foreign"
"29",0,"DM0-200",7,"poor","goods/repair",2415,"DM0-100","1-7years",3,"male",2,34,"own",1,1,"no","foreign"
"30",1,"<DM0",60,"poor","biz",6836,"DM0-100","7+years",3,"male",4,63,"own",2,1,"yes","foreign"
"31",0,"DM0-200",18,"poor","biz",1913,"DM1000+","0-1year",3,"male",3,36,"own",1,1,"yes","foreign"
"32",0,"<DM0",24,"poor","goods/repair",4020,"DM0-100","1-7years",2,"male",2,27,"own",1,1,"no","foreign"
"33",0,"DM0-200",18,"poor","newcar",5866,"DM100-1000","1-7years",2,"male",2,30,"own",2,1,"yes","foreign"
"34",0,"NoAccount",12,"terrible","biz",1264,"DM0-100","7+years",4,"male",4,57,"rent",1,1,"no","foreign"
"35",0,"DM200+",12,"poor","goods/repair",1474,"DM0-100","0-1year",4,"female",1,33,"own",1,1,"yes","foreign"
"36",1,"DM0-200",45,"terrible","goods/repair",4746,"DM0-100","0-1year",4,"male",2,25,"own",2,1,"no","foreign"
"37",0,"NoAccount",48,"terrible","edu",6110,"DM0-100","1-7years",1,"male",3,31,"forfree",1,1,"yes","foreign"
"38",1,"DM200+",18,"poor","goods/repair",2100,"DM0-100","1-7years",4,"male",2,37,"own",1,1,"no","foreign"
"39",0,"DM200+",10,"poor","goods/repair",1225,"DM0-100","1-7years",2,"male",2,37,"own",1,1,"yes","foreign"
"40",0,"DM0-200",9,"poor","goods/repair",458,"DM0-100","1-7years",4,"male",3,24,"own",1,1,"no","foreign"
"41",0,"NoAccount",30,"poor","goods/repair",2333,"DM100-1000","7+years",4,"male",2,30,"own",1,1,"no","foreign"
"42",0,"DM0-200",12,"poor","goods/repair",1158,"DM100-1000","1-7years",3,"male",1,26,"own",1,1,"yes","foreign"
"43",0,"DM0-200",18,"poor","goods/repair",6204,"DM0-100","1-7years",2,"male",4,44,"own",1,2,"yes","foreign"
"44",0,"<DM0",30,"terrible","usedcar",6187,"DM100-1000","1-7years",1,"male",4,24,"rent",2,1,"no","foreign"
"45",1,"<DM0",48,"terrible","usedcar",6143,"DM0-100","7+years",4,"female",4,58,"forfree",2,1,"no","foreign"
"46",0,"NoAccount",11,"terrible","newcar",1393,"DM0-100","0-1year",4,"female",4,35,"own",2,1,"no","foreign"
"47",0,"NoAccount",36,"poor","goods/repair",2299,"DM100-1000","7+years",4,"male",4,39,"own",1,1,"no","foreign"
"48",0,"<DM0",6,"poor","usedcar",1352,"DM100-1000","unemployed",1,"female",2,23,"rent",1,1,"yes","foreign"
"49",0,"NoAccount",11,"terrible","newcar",7228,"DM0-100","1-7years",1,"male",4,39,"own",2,1,"no","foreign"
"50",0,"NoAccount",12,"poor","goods/repair",2073,"DM100-1000","1-7years",4,"female",2,28,"own",1,1,"no","foreign"
"51",0,"DM0-200",24,"poor","goods/repair",2333,"DM0-100","0-1year",4,"male",2,29,"own",1,1,"no","foreign"
"52",0,"DM0-200",27,"poor","usedcar",5965,"DM0-100","7+years",1,"male",2,30,"own",2,1,"yes","foreign"
"53",0,"NoAccount",12,"poor","goods/repair",1262,"DM0-100","1-7years",3,"male",2,25,"own",1,1,"no","foreign"
"54",0,"NoAccount",18,"poor","usedcar",3378,"DM0-100","1-7years",2,"male",1,31,"own",1,1,"yes","foreign"
"55",1,"DM0-200",36,"poor","newcar",2225,"DM0-100","7+years",4,"male",4,57,"forfree",2,1,"yes","foreign"
"56",0,"NoAccount",6,"good","newcar",783,"DM0-100","1-7years",1,"male",2,26,"own",1,2,"no","foreign"
"57",1,"DM0-200",12,"poor","goods/repair",6468,"DM0-100","unemployed",2,"male",1,52,"own",1,1,"yes","foreign"
"58",0,"NoAccount",36,"terrible","goods/repair",9566,"DM0-100","1-7years",2,"female",2,31,"own",2,1,"no","foreign"
"59",0,"DM200+",18,"poor","newcar",1961,"DM0-100","7+years",3,"female",2,23,"own",1,1,"no","foreign"
"60",1,"<DM0",36,"terrible","goods/repair",6229,"DM0-100","0-1year",4,"female",4,23,"rent",2,1,"yes","foreign"
"61",0,"DM0-200",9,"poor","biz",1391,"DM0-100","1-7years",2,"male",1,27,"own",1,1,"yes","foreign"
"62",0,"DM0-200",15,"terrible","goods/repair",1537,"DM0-100","7+years",4,"male",4,50,"own",2,1,"yes","foreign"
"63",1,"DM0-200",36,"good","biz",1953,"DM0-100","7+years",4,"male",4,61,"forfree",1,1,"yes","foreign"
"64",1,"DM0-200",48,"good","biz",14421,"DM0-100","1-7years",2,"male",2,25,"own",1,1,"yes","foreign"
"65",0,"NoAccount",24,"poor","goods/repair",3181,"DM0-100","0-1year",4,"female",4,26,"own",1,1,"yes","foreign"
"66",0,"NoAccount",27,"poor","goods/repair",5190,"DM0-100","7+years",4,"male",4,48,"own",4,2,"yes","foreign"
"67",0,"NoAccount",12,"poor","goods/repair",2171,"DM0-100","0-1year",2,"female",2,29,"own",1,1,"no","foreign"
"68",0,"DM0-200",12,"poor","newcar",1007,"DM1000+","1-7years",4,"male",1,22,"own",1,1,"no","foreign"
"69",1,"NoAccount",36,"poor","edu",1819,"DM0-100","1-7years",4,"male",4,37,"forfree",1,1,"yes","foreign"
"70",0,"NoAccount",36,"poor","goods/repair",2394,"DM0-100","1-7years",4,"female",4,25,"own",1,1,"no","foreign"
"71",0,"NoAccount",36,"poor","usedcar",8133,"DM0-100","1-7years",1,"female",2,30,"own",1,1,"no","foreign"
"72",0,"NoAccount",7,"terrible","goods/repair",730,"DM0-100","7+years",4,"male",2,46,"rent",2,1,"yes","foreign"
"73",0,"<DM0",8,"terrible","biz",1164,"DM0-100","7+years",3,"male",4,51,"forfree",2,2,"yes","foreign"
"74",0,"DM0-200",42,"terrible","biz",5954,"DM0-100","1-7years",2,"female",1,41,"own",2,1,"no","foreign"
"75",1,"<DM0",36,"poor","edu",1977,"DM0-100","7+years",4,"male",4,40,"own",1,1,"yes","foreign"
"76",0,"<DM0",12,"terrible","usedcar",1526,"DM0-100","7+years",4,"male",4,66,"forfree",2,1,"no","foreign"
"77",1,"<DM0",42,"poor","goods/repair",3965,"DM0-100","0-1year",4,"male",3,34,"own",1,1,"no","foreign"
"78",0,"DM0-200",11,"poor","goods/repair",4771,"DM0-100","1-7years",2,"male",4,51,"own",1,1,"no","foreign"
"79",0,"NoAccount",54,"good","usedcar",9436,"DM0-100","1-7years",2,"male",2,39,"own",1,2,"no","foreign"
"80",0,"DM0-200",30,"poor","goods/repair",3832,"DM0-100","0-1year",2,"male",1,22,"own",1,1,"no","foreign"
"81",1,"NoAccount",24,"poor","goods/repair",5943,"DM0-100","0-1year",1,"female",1,44,"own",2,1,"yes","foreign"
"82",0,"NoAccount",15,"poor","goods/repair",1213,"DM100-1000","7+years",4,"male",3,47,"own",1,1,"yes","foreign"
"83",0,"NoAccount",18,"poor","biz",1568,"DM100-1000","1-7years",3,"female",4,24,"rent",1,1,"no","foreign"
"84",0,"<DM0",24,"poor","biz",1755,"DM0-100","7+years",4,"female",4,58,"own",1,1,"yes","foreign"
"85",0,"<DM0",10,"poor","goods/repair",2315,"DM0-100","7+years",3,"male",4,52,"own",1,1,"no","foreign"
"86",0,"NoAccount",12,"terrible","biz",1412,"DM0-100","1-7years",4,"female",2,29,"own",2,1,"yes","foreign"
"87",0,"DM0-200",18,"terrible","goods/repair",1295,"DM0-100","0-1year",4,"female",1,27,"own",2,1,"no","foreign"
"88",1,"DM0-200",36,"poor","edu",12612,"DM100-1000","1-7years",1,"male",4,47,"forfree",1,2,"yes","foreign"
"89",0,"<DM0",18,"poor","newcar",2249,"DM100-1000","1-7years",4,"male",3,30,"own",1,2,"yes","foreign"
"90",1,"<DM0",12,"good","goods/repair",1108,"DM0-100","1-7years",4,"male",3,28,"own",2,1,"no","foreign"
"91",0,"NoAccount",12,"terrible","goods/repair",618,"DM0-100","7+years",4,"male",4,56,"own",1,1,"no","foreign"
"92",0,"<DM0",12,"terrible","usedcar",1409,"DM0-100","7+years",4,"male",3,54,"own",1,1,"no","foreign"
"93",1,"NoAccount",12,"terrible","goods/repair",797,"DM0-100","7+years",4,"female",3,33,"own",1,2,"no","foreign"
"94",0,"DM200+",24,"terrible","goods/repair",3617,"DM0-100","7+years",4,"male",4,20,"rent",2,1,"no","foreign"
"95",0,"DM0-200",12,"poor","newcar",1318,"DM1000+","7+years",4,"male",4,54,"own",1,1,"yes","foreign"
"96",1,"DM0-200",54,"good","biz",15945,"DM0-100","0-1year",3,"male",4,58,"rent",1,1,"yes","foreign"
"97",0,"NoAccount",12,"terrible","edu",2012,"DM0-100","1-7years",4,"female",2,61,"own",1,1,"no","foreign"
"98",0,"DM0-200",18,"poor","biz",2622,"DM100-1000","1-7years",4,"male",4,34,"own",1,1,"no","foreign"
"99",0,"DM0-200",36,"terrible","goods/repair",2337,"DM0-100","7+years",4,"male",4,36,"own",1,1,"no","foreign"
"100",0,"DM0-200",20,"poor","usedcar",7057,"DM0-100","1-7years",3,"male",4,36,"rent",2,2,"yes","foreign"
"101",0,"NoAccount",24,"poor","newcar",1469,"DM100-1000","7+years",4,"male",4,41,"rent",1,1,"no","foreign"
"102",0,"DM0-200",36,"poor","goods/repair",2323,"DM0-100","1-7years",4,"male",4,24,"rent",1,1,"no","foreign"
"103",0,"NoAccount",6,"poor","goods/repair",932,"DM0-100","1-7years",3,"female",2,24,"own",1,1,"no","foreign"
"104",0,"DM0-200",9,"terrible","goods/repair",1919,"DM0-100","1-7years",4,"male",3,35,"rent",1,1,"yes","foreign"
"105",0,"NoAccount",12,"poor","usedcar",2445,"DM0-100","0-1year",2,"male",4,26,"rent",1,1,"yes","foreign"
"106",1,"DM0-200",24,"terrible","biz",11938,"DM0-100","1-7years",2,"male",3,39,"own",2,2,"yes","foreign"
"107",1,"NoAccount",18,"good","newcar",6458,"DM0-100","7+years",2,"male",4,39,"own",2,2,"yes","foreign"
"108",0,"DM0-200",12,"poor","newcar",6078,"DM0-100","1-7years",2,"male",2,32,"own",1,1,"no","foreign"
"109",0,"<DM0",24,"poor","goods/repair",7721,"DM0-100","0-1year",1,"female",2,30,"own",1,1,"yes","german"
"110",0,"DM0-200",14,"poor","biz",1410,"DM100-1000","7+years",1,"male",2,35,"own",1,1,"yes","foreign"
"111",0,"DM0-200",6,"poor","biz",1449,"DM100-1000","7+years",1,"male",2,31,"own",2,2,"no","foreign"
"112",0,"DM200+",15,"poor","edu",392,"DM0-100","0-1year",4,"female",4,23,"rent",1,1,"yes","foreign"
"113",0,"DM0-200",18,"poor","newcar",6260,"DM0-100","1-7years",3,"male",3,28,"rent",1,1,"no","foreign"
"114",1,"NoAccount",36,"terrible","newcar",7855,"DM0-100","1-7years",4,"female",2,25,"own",2,1,"yes","foreign"
"115",0,"<DM0",12,"poor","goods/repair",1680,"DM100-1000","7+years",3,"male",1,35,"own",1,1,"no","foreign"
"116",0,"NoAccount",48,"terrible","goods/repair",3578,"DM0-100","7+years",4,"male",1,47,"own",1,1,"yes","foreign"
"117",1,"<DM0",42,"poor","goods/repair",7174,"DM0-100","1-7years",4,"female",3,30,"own",1,1,"yes","foreign"
"118",0,"<DM0",10,"terrible","goods/repair",2132,"DM0-100","0-1year",2,"female",3,27,"rent",2,1,"no","german"
"119",1,"<DM0",33,"terrible","goods/repair",4281,"DM100-1000","1-7years",1,"female",4,23,"own",2,1,"no","foreign"
"120",0,"DM0-200",12,"terrible","newcar",2366,"DM100-1000","1-7years",3,"male",3,36,"own",1,1,"yes","foreign"
"121",1,"<DM0",21,"poor","goods/repair",1835,"DM0-100","1-7years",3,"female",2,25,"own",2,1,"yes","foreign"
"122",0,"NoAccount",24,"terrible","usedcar",3868,"DM0-100","7+years",4,"female",2,41,"rent",2,1,"yes","foreign"
"123",0,"NoAccount",12,"poor","goods/repair",1768,"DM0-100","1-7years",3,"male",2,24,"rent",1,1,"no","foreign"
"124",0,"DM200+",10,"terrible","newcar",781,"DM0-100","7+years",4,"male",4,63,"forfree",2,1,"yes","foreign"
"125",1,"DM0-200",18,"poor","goods/repair",1924,"DM0-100","0-1year",4,"female",3,27,"rent",1,1,"no","foreign"
"126",0,"<DM0",12,"terrible","newcar",2121,"DM0-100","1-7years",4,"male",2,30,"own",2,1,"no","foreign"
"127",0,"<DM0",12,"poor","goods/repair",701,"DM0-100","1-7years",4,"male",2,40,"own",1,1,"no","foreign"
"128",1,"DM0-200",12,"poor","goods/repair",639,"DM0-100","1-7years",4,"male",2,30,"own",1,1,"no","foreign"
"129",0,"DM0-200",12,"terrible","usedcar",1860,"DM0-100","unemployed",4,"male",2,34,"own",2,1,"yes","foreign"
"130",1,"<DM0",12,"terrible","newcar",3499,"DM0-100","1-7years",3,"female",2,29,"own",2,1,"no","foreign"
"131",0,"DM0-200",48,"poor","newcar",8487,"DM0-100","1-7years",1,"female",2,24,"own",1,1,"no","foreign"
"132",1,"<DM0",36,"poor","edu",6887,"DM0-100","1-7years",4,"male",3,29,"own",1,1,"yes","foreign"
"133",0,"NoAccount",15,"poor","goods/repair",2708,"DM0-100","0-1year",2,"male",3,27,"own",2,1,"no","foreign"
"134",0,"NoAccount",18,"poor","goods/repair",1984,"DM0-100","1-7years",4,"male",4,47,"forfree",2,1,"no","foreign"
"135",0,"NoAccount",60,"poor","goods/repair",10144,"DM100-1000","1-7years",2,"female",4,21,"own",1,1,"yes","foreign"
"136",0,"NoAccount",12,"terrible","goods/repair",1240,"DM0-100","7+years",4,"female",2,38,"own",2,1,"yes","foreign"
"137",0,"NoAccount",27,"poor","usedcar",8613,"DM1000+","1-7years",2,"male",2,27,"own",2,1,"no","foreign"
"138",1,"DM0-200",12,"poor","goods/repair",766,"DM100-1000","1-7years",4,"male",3,66,"own",1,1,"no","foreign"
"139",0,"DM0-200",15,"terrible","goods/repair",2728,"DM0-100","1-7years",4,"male",2,35,"own",3,1,"yes","foreign"
"140",0,"DM200+",12,"poor","goods/repair",1881,"DM0-100","1-7years",2,"female",2,44,"rent",1,1,"yes","foreign"
"141",0,"DM200+",6,"poor","newcar",709,"DM1000+","0-1year",2,"male",2,27,"own",1,1,"no","german"
"142",0,"DM0-200",36,"poor","goods/repair",4795,"DM0-100","0-1year",4,"female",1,30,"own",1,1,"yes","foreign"
"143",0,"<DM0",27,"poor","goods/repair",3416,"DM0-100","1-7years",3,"male",2,27,"own",1,1,"no","foreign"
"144",1,"<DM0",18,"poor","goods/repair",2462,"DM0-100","1-7years",2,"male",2,22,"own",1,1,"no","foreign"
"145",0,"NoAccount",21,"terrible","goods/repair",2288,"DM0-100","0-1year",4,"female",4,23,"own",1,1,"yes","foreign"
"146",0,"DM0-200",48,"good","biz",3566,"DM100-1000","1-7years",4,"male",2,30,"own",1,1,"no","foreign"
"147",0,"<DM0",6,"terrible","newcar",860,"DM0-100","7+years",1,"female",4,39,"own",2,1,"yes","foreign"
"148",0,"NoAccount",12,"terrible","newcar",682,"DM100-1000","1-7years",4,"female",3,51,"own",2,1,"yes","foreign"
"149",0,"<DM0",36,"terrible","goods/repair",5371,"DM0-100","1-7years",3,"male",2,28,"own",2,1,"no","foreign"
"150",0,"NoAccount",18,"terrible","goods/repair",1582,"DM1000+","7+years",4,"male",4,46,"own",2,1,"no","foreign"
"151",0,"NoAccount",6,"poor","goods/repair",1346,"DM100-1000","7+years",2,"male",4,42,"forfree",1,2,"yes","foreign"
"152",0,"NoAccount",10,"poor","goods/repair",1924,"DM0-100","1-7years",1,"male",4,38,"own",1,1,"yes","german"
"153",0,"DM200+",36,"poor","goods/repair",5848,"DM0-100","1-7years",4,"male",1,24,"own",1,1,"no","foreign"
"154",0,"DM0-200",24,"terrible","usedcar",7758,"DM1000+","7+years",2,"female",4,29,"rent",1,1,"no","foreign"
"155",0,"DM0-200",24,"poor","biz",6967,"DM100-1000","1-7years",4,"male",4,36,"rent",1,1,"yes","foreign"
"156",1,"<DM0",12,"poor","goods/repair",1282,"DM0-100","1-7years",2,"female",4,20,"rent",1,1,"no","foreign"
"157",0,"<DM0",9,"terrible","goods/repair",1288,"DM100-1000","7+years",3,"male",4,48,"own",2,2,"no","german"
"158",0,"<DM0",12,"good","edu",339,"DM0-100","7+years",4,"male",1,45,"own",1,1,"no","foreign"
"159",0,"DM0-200",24,"poor","newcar",3512,"DM100-1000","1-7years",2,"male",3,38,"own",2,1,"yes","foreign"
"160",0,"NoAccount",6,"terrible","goods/repair",1898,"DM0-100","1-7years",1,"male",2,34,"own",2,2,"no","foreign"
"161",0,"NoAccount",24,"terrible","goods/repair",2872,"DM100-1000","7+years",3,"male",4,36,"own",1,2,"yes","foreign"
"162",0,"NoAccount",18,"terrible","newcar",1055,"DM0-100","0-1year",4,"female",1,30,"own",2,1,"no","foreign"
"163",0,"NoAccount",15,"poor","goods/repair",1262,"DM100-1000","1-7years",4,"male",3,36,"own",2,1,"yes","foreign"
"164",0,"DM0-200",10,"poor","newcar",7308,"DM0-100","unemployed",2,"male",4,70,"forfree",1,1,"yes","foreign"
"165",0,"NoAccount",36,"poor","newcar",909,"DM100-1000","7+years",4,"male",4,36,"own",1,1,"no","foreign"
"166",0,"NoAccount",6,"poor","goods/repair",2978,"DM100-1000","1-7years",1,"male",2,32,"own",1,1,"yes","foreign"
"167",1,"<DM0",18,"poor","goods/repair",1131,"DM0-100","unemployed",4,"female",2,33,"own",1,1,"no","foreign"
"168",0,"DM0-200",11,"poor","goods/repair",1577,"DM1000+","0-1year",4,"female",1,20,"own",1,1,"no","foreign"
"169",0,"NoAccount",24,"poor","goods/repair",3972,"DM0-100","1-7years",2,"female",4,25,"rent",1,1,"yes","foreign"
"170",1,"DM0-200",24,"terrible","biz",1935,"DM0-100","7+years",4,"male",4,31,"own",2,1,"yes","foreign"
"171",1,"<DM0",15,"good","newcar",950,"DM0-100","7+years",4,"male",3,33,"rent",2,2,"no","foreign"
"172",0,"NoAccount",12,"poor","goods/repair",763,"DM0-100","1-7years",4,"female",1,26,"own",1,1,"yes","foreign"
"173",1,"DM0-200",24,"poor","goods/repair",2064,"DM0-100","unemployed",3,"female",2,34,"own",1,1,"yes","foreign"
"174",0,"DM0-200",8,"poor","goods/repair",1414,"DM0-100","1-7years",4,"male",2,33,"own",1,1,"no","german"
"175",1,"<DM0",21,"poor","edu",3414,"DM0-100","0-1year",2,"male",1,26,"own",2,1,"no","foreign"
"176",1,"NoAccount",30,"good","usedcar",7485,"DM0-100","unemployed",4,"female",1,53,"own",1,1,"yes","foreign"
"177",0,"<DM0",12,"poor","goods/repair",2577,"DM0-100","1-7years",2,"male",1,42,"own",1,1,"no","foreign"
"178",0,"<DM0",6,"terrible","goods/repair",338,"DM100-1000","7+years",4,"male",4,52,"own",2,1,"no","foreign"
"179",0,"NoAccount",12,"poor","goods/repair",1963,"DM0-100","1-7years",4,"male",2,31,"rent",2,2,"yes","foreign"
"180",0,"<DM0",21,"terrible","newcar",571,"DM0-100","7+years",4,"male",4,65,"own",2,1,"no","foreign"
"181",1,"NoAccount",36,"poor","biz",9572,"DM0-100","0-1year",1,"male",1,28,"own",2,1,"no","foreign"
"182",1,"DM0-200",36,"poor","biz",4455,"DM0-100","1-7years",2,"male",2,30,"own",2,1,"yes","foreign"
"183",1,"<DM0",21,"good","newcar",1647,"DM0-100","1-7years",4,"male",2,40,"own",2,2,"no","foreign"
"184",0,"NoAccount",24,"terrible","goods/repair",3777,"DM1000+","1-7years",4,"male",4,50,"own",1,1,"yes","foreign"
"185",1,"DM0-200",18,"terrible","newcar",884,"DM0-100","7+years",4,"male",4,36,"own",1,2,"yes","foreign"
"186",0,"NoAccount",15,"terrible","goods/repair",1360,"DM0-100","1-7years",4,"male",2,31,"own",2,1,"no","foreign"
"187",1,"DM0-200",9,"good","usedcar",5129,"DM0-100","7+years",2,"female",4,74,"forfree",1,2,"yes","foreign"
"188",0,"DM0-200",16,"terrible","newcar",1175,"DM0-100","unemployed",2,"male",3,68,"forfree",3,1,"yes","foreign"
"189",1,"<DM0",12,"poor","goods/repair",674,"DM100-1000","1-7years",4,"male",1,20,"own",1,1,"no","foreign"
"190",0,"DM0-200",18,"good","goods/repair",3244,"DM0-100","1-7years",1,"female",4,33,"own",2,1,"yes","foreign"
"191",1,"NoAccount",24,"poor","biz",4591,"DM1000+","1-7years",2,"male",3,54,"own",3,1,"yes","foreign"
"192",1,"DM0-200",48,"good","biz",3844,"DM100-1000","1-7years",4,"male",4,34,"forfree",1,2,"no","foreign"
"193",1,"DM0-200",27,"poor","biz",3915,"DM0-100","1-7years",4,"male",2,36,"own",1,2,"yes","foreign"
"194",0,"NoAccount",6,"poor","goods/repair",2108,"DM0-100","1-7years",2,"male",2,29,"rent",1,1,"no","foreign"
"195",1,"DM0-200",45,"poor","goods/repair",3031,"DM100-1000","1-7years",4,"male",4,21,"rent",1,1,"no","foreign"
"196",1,"DM0-200",9,"terrible","edu",1501,"DM0-100","7+years",2,"female",3,34,"own",2,1,"yes","foreign"
"197",0,"NoAccount",6,"terrible","goods/repair",1382,"DM0-100","1-7years",1,"female",1,28,"own",2,1,"yes","foreign"
"198",1,"DM0-200",12,"poor","goods/repair",951,"DM100-1000","0-1year",4,"female",4,27,"rent",4,1,"no","foreign"
"199",0,"DM0-200",24,"poor","usedcar",2760,"DM0-100","7+years",4,"male",4,36,"forfree",1,1,"yes","foreign"
"200",1,"DM0-200",18,"poor","goods/repair",4297,"DM0-100","7+years",4,"male",3,40,"own",1,1,"yes","foreign"
"201",0,"NoAccount",9,"terrible","edu",936,"DM100-1000","7+years",4,"male",2,52,"own",2,1,"yes","foreign"
"202",0,"<DM0",12,"poor","newcar",1168,"DM0-100","1-7years",4,"male",3,27,"own",1,1,"no","foreign"
"203",0,"NoAccount",27,"poor","biz",5117,"DM0-100","1-7years",3,"male",4,26,"own",2,1,"no","foreign"
"204",1,"<DM0",12,"poor","edu",902,"DM0-100","1-7years",4,"male",4,21,"rent",1,1,"no","foreign"
"205",0,"NoAccount",12,"terrible","newcar",1495,"DM0-100","7+years",4,"male",1,38,"own",2,2,"no","foreign"
"206",0,"<DM0",30,"terrible","usedcar",10623,"DM0-100","7+years",3,"male",4,38,"forfree",3,2,"yes","foreign"
"207",0,"NoAccount",12,"terrible","goods/repair",1935,"DM0-100","7+years",4,"male",4,43,"own",3,1,"yes","foreign"
"208",0,"DM0-200",12,"terrible","goods/repair",1424,"DM0-100","1-7years",4,"male",3,26,"own",1,1,"no","foreign"
"209",0,"<DM0",24,"poor","biz",6568,"DM0-100","1-7years",2,"male",2,21,"own",1,1,"no","foreign"
"210",0,"NoAccount",12,"poor","usedcar",1413,"DM1000+","1-7years",3,"male",2,55,"own",1,1,"no","german"
"211",0,"NoAccount",9,"terrible","goods/repair",3074,"DM0-100","1-7years",1,"male",2,33,"own",2,2,"no","foreign"
"212",0,"NoAccount",36,"poor","goods/repair",3835,"DM0-100","7+years",2,"female",4,45,"own",1,1,"yes","foreign"
"213",1,"<DM0",27,"good","biz",5293,"DM0-100","unemployed",2,"male",4,50,"own",2,1,"yes","foreign"
"214",1,"DM200+",30,"poor","biz",1908,"DM0-100","7+years",4,"male",4,66,"own",1,1,"yes","foreign"
"215",0,"NoAccount",36,"terrible","goods/repair",3342,"DM0-100","7+years",4,"male",2,51,"own",1,1,"yes","foreign"
"216",0,"DM0-200",6,"terrible","edu",932,"DM0-100","1-7years",1,"female",3,39,"own",2,1,"no","foreign"
"217",0,"<DM0",18,"good","biz",3104,"DM0-100","1-7years",3,"male",1,31,"own",1,1,"yes","foreign"
"218",0,"DM200+",36,"poor","goods/repair",3913,"DM0-100","1-7years",2,"male",2,23,"own",1,1,"yes","foreign"
"219",0,"<DM0",24,"poor","goods/repair",3021,"DM0-100","1-7years",2,"male",2,24,"rent",1,1,"no","foreign"
"220",0,"NoAccount",10,"poor","newcar",1364,"DM0-100","1-7years",2,"female",4,64,"own",1,1,"yes","foreign"
"221",0,"DM0-200",12,"poor","goods/repair",625,"DM0-100","0-1year",4,"male",1,26,"own",1,1,"no","foreign"
"222",0,"<DM0",12,"poor","edu",1200,"DM0-100","1-7years",4,"female",4,23,"rent",1,1,"yes","foreign"
